OCC_TITLE,TOT_EMP_NY,H_MEAN_NY,A_MEAN_NY,H_MEDIAN_NY,A_MEDIAN_NY,TOT_EMP_SF,H_MEAN_SF,A_MEAN_SF,H_MEDIAN_SF,A_MEDIAN_SF
"Teaching Assistants, Postsecondary","7,830",*,"52,170",*,"52,550","3,550",*,"55,450",*,"48,400"
"Teaching Assistants, Except Postsecondary","115,780",*,"35,500",*,"32,590",160,*,"45,530",*,"44,820"
"Educational Instruction and Library Workers, All Other","2,560",27.23,"56,630",24.88,"51,750",710,22.22,*,17.95,*
"Arts, Design, Entertainment, Sports, and Media Occupations","200,760",42.61,"88,620",35.34,"73,510",170,38.26,"79,580",30.58,"63,600"
Art Directors,"8,270",68.39,"142,260",57.78,"120,180",870,53.48,*,48.84,*
Craft Artists,60,20.11,"41,830",18.3,"38,050",130,19.03,*,17.39,*
"Fine Artists, Including Painters, Sculptors, and Illustrators","1,210",*,*,*,*,380,*,*,*,*
Special Effects Artists and Animators,"2,230",46.63,"97,000",44.11,"91,750",**,39.67,"82,520",32.71,"68,050"
"Artists and Related Workers, All Other",190,48.81,"101,530",38.62,"80,320","5,770",42.61,"88,630",36.95,"76,860"
Commercial and Industrial Designers,"2,390",40.21,"83,640",37.11,"77,200","2,540",44.7,"92,970",39.01,"81,140"
Fashion Designers,"8,120",43.82,"91,140",36.91,"76,760","1,540",53.38,"111,020",54.44,"113,230"
Floral Designers,"1,690",16.9,"35,150",14.92,"31,040","1,360",50.13,"104,270",46.54,"96,800"
Graphic Designers,"19,720",33.84,"70,390",31.45,"65,420","1,150",38.84,"80,780",40.67,"84,600"
Interior Designers,"4,770",34.1,"70,930",32.86,"68,340",270,56.87,"118,300",58.52,"121,730"
Merchandise Displayers and Window Trimmers,"6,150",20.43,"42,500",17.93,"37,300","1,080",31.46,"65,430",30.48,"63,390"
Set and Exhibit Designers,"1,950",40.76,"84,770",41.32,"85,930","1,510",31.8,"66,140",29.91,"62,220"
"Designers, All Other",910,34.42,"71,580",33.11,"68,860",370,31.5,"65,510",27.92,"58,080"
Actors,"5,910",52.89,*,40.16,*,300,32.05,"66,670",30.88,"64,230"
Producers and Directors,"23,970",58.72,"122,140",50.02,"104,050",850,32.07,"66,700",32.7,"68,010"
Athletes and Sports Competitors,380,*,"197,690",*,#,320,25.12,"52,250",23.5,"48,880"
Coaches and Scouts,"11,050",*,"57,310",*,"48,150",650,39.84,"82,860",31.61,"65,760"
"Umpires, Referees, and Other Sports Officials",690,*,*,*,*,450,33.84,"70,380",26.23,"54,560"
Dancers,"1,360",29.81,*,24.86,*,"109,640",60.24,"125,300",57.65,"119,920"
Music Directors and Composers,"1,560",42.89,"89,220",30.83,"64,130",420,40.53,"84,310",35.97,"74,830"
Musicians and Singers,"4,520",48.66,*,37.69,*,"1,770",85.3,"177,420",74.67,"155,300"
"Miscellaneous Entertainers and Performers, Sports and Related Workers",870,34.37,*,20.29,*,"1,180",45.7,"95,060",46.02,"95,720"
Broadcast Announcers and Radio Disc Jockeys,"1,160",45.39,"94,400",29.71,"61,800",620,65.41,"136,050",68.58,"142,640"
"News Analysts, Reporters, and Journalists","5,940",44.32,"92,190",39.97,"83,140","3,870",74.32,"154,580",77.5,"161,200"
Public Relations Specialists,"25,390",39.67,"82,510",34.92,"72,640","1,430",69.16,"143,840",70.64,"146,930"
Editors,"20,370",45.12,"93,840",38.58,"80,250",80,70.71,"147,070",77.38,"160,960"
Technical Writers,"2,770",42.35,"88,090",40.63,"84,510","1,250",50.04,"104,090",52.62,"109,460"
Writers and Authors,"7,090",46.15,"95,990",37.23,"77,450","3,300",49.69,"103,350",51.77,"107,690"
Interpreters and Translators,"2,760",36.68,"76,300",35.09,"72,980",130,72.57,"150,950",75.61,"157,260"
Court Reporters and Simultaneous Captioners,930,44.02,"91,560",46.86,"97,460",140,39.63,"82,420",41.71,"86,770"
"Media and Communication Workers, All Other","1,200",32.02,"66,590",28.64,"59,580","1,740",50.09,"104,200",52.95,"110,130"
Audio and Video Technicians,"6,440",30.39,"63,220",27.98,"58,210","3,130",49.53,"103,020",48.69,"101,270"
Broadcast Technicians,"4,100",29.04,"60,400",26.78,"55,690",50,40.01,"83,210",39.37,"81,890"
Sound Engineering Technicians,"1,410",36.92,"76,790",29.61,"61,590",870,57.52,"119,640",58.47,"121,620"
Photographers,"3,810",34.95,"72,690",29.78,"61,950","40,600",71.73,"149,200",74.6,"155,170"
"Camera Operators, Television, Video, and Film","3,340",51.54,"107,200",51.49,"107,100",210,77.94,"162,110",81.36,"169,240"
Film and Video Editors,"3,130",46.66,"97,050",41.72,"86,790","2,080",85.48,"177,800",83.84,"174,390"
"Lighting Technicians and Media and Communication Equipment Workers, All Other",**,36.36,"75,630",32.79,"68,210",300,56.9,"118,350",59.42,"123,590"
Healthcare Practitioners and Technical Occupations,"516,820",48.96,"101,840",42.67,"88,750","1,960",103.28,"214,810",#,#
Chiropractors,"1,740",43.72,"90,950",39.18,"81,490",50,115.08,"239,360",#,#
"Dentists, General","6,860",81.29,"169,090",72.63,"151,070",370,113.07,"235,190",#,#
Oral and Maxillofacial Surgeons,170,109.7,"228,190",#,#,300,122.35,"254,480",#,#
Orthodontists,**,83,"172,640",82.78,"172,180","5,000",90.09,"187,390",78.31,"162,880"
"Dentists, All Other Specialists",320,111.09,"231,060",#,#,**,120.47,"250,590",#,#
Dietitians and Nutritionists,"4,510",35.15,"73,120",34.88,"72,550","2,800",56.48,"117,470",57.24,"119,060"
Optometrists,"1,660",66.35,"138,000",61.3,"127,500",840,38.15,"79,360",30.67,"63,790"
Pharmacists,"20,360",59.27,"123,290",59.62,"124,010","4,310",35.83,"74,520",35.5,"73,830"
Physician Assistants,"11,440",63.16,"131,370",62.91,"130,860",660,35.6,"74,060",33.29,"69,250"
Podiatrists,"1,040",82.89,"172,400",70.19,"145,990",930,58.27,"121,210",63,"131,030"
Occupational Therapists,"9,800",47.15,"98,080",44.87,"93,330",120,67.02,"139,410",70.46,"146,560"
Physical Therapists,"16,250",47.81,"99,450",47.38,"98,540","2,400",55.89,"116,250",57.57,"119,740"
Radiation Therapists,"1,400",59.54,"123,840",52.49,"109,190",260,60.86,"126,590",62.36,"129,710"
Recreational Therapists,"1,300",29.03,"60,370",28.22,"58,700","3,350",28.31,"58,880",24.06,"50,050"
Respiratory Therapists,"7,070",39.02,"81,170",38.64,"80,380",360,22.27,"46,330",19.65,"40,870"
Speech-Language Pathologists,"12,600",51.48,"107,080",48.9,"101,720","4,620",26.93,"56,020",24.87,"51,720"
Exercise Physiologists,260,33.85,"70,420",30.87,"64,210",430,27.73,"57,670",27.96,"58,150"
"Therapists, All Other","1,040",29.84,"62,070",27.77,"57,750","1,120",38.09,"79,230",39.18,"81,490"
Veterinarians,"2,980",61.25,"127,400",55.64,"115,730","1,010",24.43,"50,820",23.01,"47,860"
Registered Nurses,"173,570",45.63,"94,920",45.65,"94,960",550,32.36,"67,300",34.33,"71,410"
Nurse Anesthetists,"1,660",104.99,"218,380",97.44,"202,660","6,580",35.83,"74,520",35.87,"74,600"
Nurse Midwives,400,58.2,"121,050",58.13,"120,910","1,080",26.08,"54,240",26.45,"55,010"
Nurse Practitioners,"13,760",64.12,"133,380",61.95,"128,860",210,39.93,"83,060",37.68,"78,370"
Audiologists,640,42.98,"89,390",39.67,"82,520","4,260",30.51,"63,460",28.68,"59,650"
Anesthesiologists,"2,560",115.6,"240,440",#,#,180,*,"61,080",*,"61,120"
Family Medicine Physicians,"3,980",99.74,"207,450",93.31,"194,090",120,64.25,"133,640",65.4,"136,030"
General Internal Medicine Physicians,"8,390",80.32,"167,060",59.42,"123,590",850,38.25,"79,570",30.75,"63,970"
Obstetricians and Gynecologists,"2,080",106.93,"222,410",#,#,"112,800",19.46,"40,480",17.15,"35,680"
"Pediatricians, General","3,650",83.31,"173,290",78.28,"162,820","74,480",16.57,"34,470",15.23,"31,690"
Psychiatrists,"3,990",92.82,"193,060",91.16,"189,610","10,410",23.28,"48,420",22.13,"46,030"
"Physicians, All Other; and Ophthalmologists, Except Pediatric","34,360",99.88,"207,750",#,#,400,24.8,"51,580",26.7,"55,540"
"Surgeons, Except Ophthalmologists","2,970",103.27,"214,810",#,#,150,36.86,"76,660",37.63,"78,280"
Dental Hygienists,"9,860",41.91,"87,160",43.19,"89,830",30,23.42,"48,710",24.51,"50,980"
"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other","2,850",46.31,"96,330",38.28,"79,620",930,31.46,"65,430",32.31,"67,200"
Clinical Laboratory Technologists and Technicians,"17,790",33.89,"70,500",34.18,"71,090",730,18.23,"37,930",17.14,"35,660"
Cardiovascular Technologists and Technicians,"2,850",35.7,"74,260",35.71,"74,280","1,370",28.56,"59,400",25.3,"52,620"
Diagnostic Medical Sonographers,"6,150",39.39,"81,930",39.84,"82,860","5,630",25.72,"53,510",25.45,"52,930"
Nuclear Medicine Technologists,"1,010",44.23,"92,010",44.51,"92,570","12,620",25.94,"53,960",26.82,"55,780"
Radiologic Technologists and Technicians,"11,370",37.04,"77,030",37.34,"77,660","1,010",31.39,"65,280",32.93,"68,490"
Magnetic Resonance Imaging Technologists,"2,130",44.37,"92,290",44.88,"93,350",170,24.93,"51,850",23.8,"49,500"
Emergency Medical Technicians and Paramedics,"18,090",23,"47,830",21.42,"44,560","1,040",23.25,"48,360",24.31,"50,560"
Dietetic Technicians,860,20.5,"42,630",19.51,"40,590","1,410",19.4,"40,360",18.61,"38,710"
Pharmacy Technicians,"19,980",18.1,"37,660",17.2,"35,770","1,220",24.16,"50,250",22.77,"47,360"
Psychiatric Technicians,"1,990",21.51,"44,750",21.7,"45,130","1,170",26.54,"55,210",26.63,"55,380"
Surgical Technologists,"5,420",29.29,"60,910",28.71,"59,730","45,640",33.92,"70,550",24.88,"51,740"
Veterinary Technologists and Technicians,"4,100",21.49,"44,690",21.26,"44,210",190,53.1,"110,440",51.43,"106,970"
Ophthalmic Medical Technicians,"4,940",20.5,"42,640",20.17,"41,950",560,87.89,"182,810",87.8,"182,630"
Licensed Practical and Licensed Vocational Nurses,"34,270",27.54,"57,270",27.77,"57,750",350,90.33,"187,890",92.2,"191,770"
"Opticians, Dispensing","2,940",27.8,"57,830",28.25,"58,760","1,320",33.15,"68,940",32.15,"66,880"
Orthotists and Prosthetists,250,45.29,"94,190",45.31,"94,240","3,530",52.63,"109,480",51.38,"106,880"
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","13,210",27.5,"57,200",24.81,"51,600",80,59.43,"123,610",57.51,"119,630"
Athletic Trainers,"1,050",*,"58,100",*,"57,060",40,45.36,"94,350",42.39,"88,180"
Genetic Counselors,170,45.17,"93,950",45.58,"94,800","1,800",39.93,"83,050",41.18,"85,650"
"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",**,39.77,"82,710",33.3,"69,250",680,61.24,"127,380",61.98,"128,910"
Healthcare Support Occupations,"613,380",16.8,"34,940",15.69,"32,630",430,34.2,"71,140",35.51,"73,860"
Home Health and Personal Care Aides,"426,290",15.37,"31,960",14.89,"30,970","8,270",58.93,"122,570",60.19,"125,200"
Nursing Assistants,"84,340",19.48,"40,520",19.47,"40,500",**,24.7,"51,370",23.04,"47,920"
Orderlies,"4,090",18.43,"38,330",18.52,"38,520",410,42.57,"88,550",44.99,"93,580"
Psychiatric Aides,"4,670",20.81,"43,270",20.98,"43,630","21,380",20.24,"42,090",19.32,"40,170"
Occupational Therapy Assistants,"2,110",32.58,"67,760",32.48,"67,560","1,330",16.46,"34,240",14.85,"30,890"
Occupational Therapy Aides,160,22.93,"47,700",18.5,"38,480","3,210",25.11,"52,220",22.19,"46,160"
Physical Therapist Assistants,"4,220",28.44,"59,140",29.44,"61,240","173,710",18.43,"38,340",16.45,"34,220"
Physical Therapist Aides,"5,270",15.02,"31,240",14.3,"29,750","3,680",34.35,"71,450",34.17,"71,070"
Massage Therapists,"5,790",25.91,"53,890",24.83,"51,640","10,250",24.04,"50,010",21.49,"44,700"
Dental Assistants,"16,250",21.45,"44,610",21.3,"44,300","9,610",14.25,"29,630",13.91,"28,930"
Medical Assistants,"32,000",19.24,"40,020",18.71,"38,910","3,110",21.27,"44,240",19.91,"41,410"
Medical Equipment Preparers,"4,050",22.84,"47,500",22.72,"47,260","21,830",19.21,"39,950",17.66,"36,730"
Medical Transcriptionists,"2,350",17.77,"36,950",15.28,"31,780","1,500",16.95,"35,250",16.94,"35,240"
Pharmacy Aides,"1,540",15.09,"31,390",13.91,"28,920",600,19.99,"41,590",18.68,"38,860"
Veterinary Assistants and Laboratory Animal Caretakers,"4,270",16.63,"34,590",16.38,"34,070","12,010",16.74,"34,820",16.64,"34,610"
Phlebotomists,"8,470",20.95,"43,570",20.41,"42,450","7,960",18.72,"38,930",16.47,"34,270"
"Healthcare Support Workers, All Other","7,520",19.49,"40,530",18.74,"38,970","42,560",16.35,"34,000",16.04,"33,350"
Protective Service Occupations,"299,310",29.82,"62,030",23.68,"49,250","32,170",19.64,"40,850",16.36,"34,020"
First-Line Supervisors of Correctional Officers,"2,210",54.36,"113,070",53.78,"111,850","4,410",17.68,"36,780",14.83,"30,860"
First-Line Supervisors of Police and Detectives,"13,610",64.36,"133,880",63.1,"131,240","7,260",18.14,"37,720",16.79,"34,920"
First-Line Supervisors of Firefighting and Prevention Workers,"4,220",61.64,"128,210",60.67,"126,190","9,530",16.56,"34,440",15.99,"33,260"
"Miscellaneous First-Line Supervisors, Protective Service Workers","8,850",29.05,"60,430",27.45,"57,090","4,800",17.77,"36,960",15.71,"32,680"
Firefighters,"15,770",40.89,"85,040",44.02,"91,570","2,400",15.96,"33,190",15.65,"32,550"
Fire Inspectors and Investigators,"1,960",30.83,"64,120",29.21,"60,760","62,040",21.53,"44,770",19.77,"41,120"
Forest Fire Inspectors and Prevention Specialists,**,32.86,"68,350",33.27,"69,190","2,180",26.25,"54,590",24.58,"51,120"
Bailiffs,"2,870",33.38,"69,440",35.39,"73,610","1,340",33.39,"69,450",31.06,"64,610"
Correctional Officers and Jailers,"20,680",35.84,"74,550",35.44,"73,710","31,010",20.31,"42,250",18.71,"38,910"
Detectives and Criminal Investigators,"7,750",50.11,"104,230",47.65,"99,110","12,390",21.46,"44,640",20.38,"42,390"
Fish and Game Wardens,90,33.65,"69,990",31.37,"65,250",80,19.39,"40,340",19.39,"40,330"
Parking Enforcement Workers,760,21.74,"45,230",20.24,"42,090","1,100",25.58,"53,210",23.38,"48,630"
Police and Sheriff's Patrol Officers,"60,100",41.48,"86,290",44.15,"91,830","12,910",21.71,"45,160",19.63,"40,830"
Transit and Railroad Police,"1,270",32.79,"68,200",34.88,"72,540",110,38.53,"80,140",43.39,"90,260"
Animal Control Workers,490,22.25,"46,290",19.78,"41,140",250,25.43,"52,890",23.25,"48,350"
Private Detectives and Investigators,"1,260",26.43,"54,970",25.38,"52,790",660,25.25,"52,510",25.47,"52,970"
Gambling Surveillance Officers and Gambling Investigators,**,19.5,"40,550",17.16,"35,690","44,160",20.35,"42,330",17.58,"36,560"
Security Guards,"120,900",18.33,"38,130",16.97,"35,310",90,24.45,"50,850",24.91,"51,810"
Crossing Guards and Flaggers,"14,270",18.96,"39,440",18.85,"39,200","3,320",28.38,"59,030",27.2,"56,590"
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","6,040",15.42,"32,080",13.56,"28,200",210,23.31,"48,480",21.03,"43,750"
Transportation Security Screeners,"4,090",22.1,"45,970",22.2,"46,170","2,620",17.41,"36,210",16.04,"33,360"
"School Bus Monitors and Protective Service Workers, All Other","12,050",17.56,"36,530",15.86,"32,990",840,14.34,"29,830",13.02,"27,080"
Food Preparation and Serving Related Occupations,"549,100",16.77,"34,880",14.7,"30,570",90,18.17,"37,790",16.26,"33,830"
Chefs and Head Cooks,"12,350",32.33,"67,250",28.23,"58,720",**,17.83,"37,080",13.01,"27,060"
First-Line Supervisors of Food Preparation and Serving Workers,"33,860",22.49,"46,780",21.45,"44,620","1,610",16.62,"34,560",15.4,"32,020"
"Cooks, Fast Food","13,790",13.21,"27,490",12.2,"25,380","5,010",15.81,"32,880",14.9,"30,990"
"Cooks, Institution and Cafeteria","12,290",18.96,"39,440",18.13,"37,710",120,22.46,"46,730",22.01,"45,770"
"Cooks, Restaurant","44,590",17.33,"36,050",16.6,"34,540",110,17.98,"37,390",17.97,"37,370"
"Cooks, Short Order","6,500",14.92,"31,030",14.33,"29,800",90,26.98,"56,120",26.88,"55,910"
"Cooks, All Other",840,17.34,"36,070",16.76,"34,850",210,19.07,"39,660",18.47,"38,410"
Food Preparation Workers,"61,770",14.99,"31,180",14.12,"29,370",180,28.11,"58,470",27.87,"57,960"
Bartenders,"24,850",19.91,"41,420",15.83,"32,920",**,16.63,"34,580",13.02,"27,080"
Fast Food and Counter Workers,"145,240",14.03,"29,190",13.63,"28,360","2,780",18.55,"38,590",15.42,"32,070"
Waiters and Waitresses,"107,510",18.12,"37,690",15.14,"31,500","2,460",15.4,"32,040",14.78,"30,750"
"Food Servers, Nonrestaurant","18,100",16.11,"33,500",14.93,"31,050","1,020",21.11,"43,920",18.59,"38,660"
Dining Room and Cafeteria Attendants and Bartender Helpers,"29,070",16.38,"34,080",14.43,"30,010",720,16.73,"34,810",15.48,"32,210"
Dishwashers,"20,400",14.73,"30,630",13.83,"28,760",380,22.15,"46,060",19.88,"41,340"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","13,650",15.44,"32,120",14.29,"29,730","1,080",21.5,"44,720",20.35,"42,330"
"Food Preparation and Serving Related Workers, All Other","4,260",14.26,"29,650",12.79,"26,600","6,580",18.31,"38,090",17.96,"37,360"
Building and Grounds Cleaning and Maintenance Occupations,"277,270",19.09,"39,710",17.44,"36,280","5,920",30.26,"62,930",29.76,"61,900"
First-Line Supervisors of Housekeeping and Janitorial Workers,"9,580",27.18,"56,540",26.81,"55,760","6,780",18.24,"37,940",16.04,"33,360"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","4,270",31.73,"66,010",30.96,"64,410",890,21.33,"44,360",18.8,"39,110"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","164,800",18.58,"38,650",17.27,"35,910",620,17.98,"37,400",16.85,"35,040"
Maids and Housekeeping Cleaners,"42,240",18.17,"37,790",15.74,"32,740","189,250",30.21,"62,830",20.23,"42,080"
"Building Cleaning Workers, All Other",**,23.47,"48,820",22.49,"46,780","12,040",24.25,"50,430",22.58,"46,970"
Pest Control Workers,"4,690",20.48,"42,590",19.67,"40,910","3,450",41.05,"85,380",32.97,"68,580"
Landscaping and Groundskeeping Workers,"45,020",18.58,"38,650",17.51,"36,430","47,410",16.58,"34,480",15.76,"32,780"
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",**,20.9,"43,480",20.18,"41,970","8,910",19.76,"41,090",17.36,"36,110"
Tree Trimmers and Pruners,"2,440",25.94,"53,960",27.5,"57,200","1,840",22.5,"46,810",21.36,"44,430"
"Grounds Maintenance Workers, All Other","3,210",15.23,"31,670",14.76,"30,710","36,530",18.15,"37,750",16.47,"34,270"
Personal Care and Service Occupations,"206,010",18.5,"38,490",15.52,"32,270","1,270",54.25,"112,850",37.17,"77,310"
First-Line Supervisors of Gambling Services Workers,90,24.25,"50,450",25.26,"52,550","5,110",52.66,"109,540",31.74,"66,020"
"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services","12,880",25.86,"53,790",24.25,"50,440","11,580",56.19,"116,880",35.38,"73,590"
Animal Trainers,800,27.59,"57,390",19.7,"40,980","1,030",27.46,"57,110",26.62,"55,360"
Animal Caretakers,"10,940",15.37,"31,980",13.93,"28,980","23,200",42.48,"88,360",36.61,"76,160"
Gambling and Sports Book Writers and Runners,280,18.94,"39,400",18.13,"37,710","7,520",57.04,"118,640",51.7,"107,540"
Motion Picture Projectionists,380,20.17,"41,950",15.06,"31,320","16,250",40.66,"84,580",35.47,"73,770"
"Ushers, Lobby Attendants, and Ticket Takers","6,820",16.76,"34,870",15.57,"32,390","1,690",17.36,"36,100",15.49,"32,210"
Amusement and Recreation Attendants,"10,680",14.34,"29,820",13.47,"28,010","2,580",35.07,"72,950",28.53,"59,340"
Costume Attendants,"1,110",37.69,"78,390",36.6,"76,130","2,160",67.23,"139,840",65.4,"136,020"
"Locker Room, Coatroom, and Dressing Room Attendants","1,190",16.52,"34,350",14.51,"30,180","267,500",26.76,"55,660",25.13,"52,270"
"Entertainment Attendants and Related Workers, All Other",**,17.4,"36,190",16.38,"34,070","22,080",36.43,"75,770",34.18,"71,100"
Funeral Attendants,810,18.07,"37,580",17.16,"35,700",840,25.36,"52,750",26.69,"55,510"
"Morticians, Undertakers, and Funeral Arrangers","1,530",31.04,"64,550",29.84,"62,060",70,23.77,"49,440",22.54,"46,880"
Barbers,"1,220",18.92,"39,350",16.66,"34,660",**,32.4,"67,390",33.45,"69,570"
"Hairdressers, Hairstylists, and Cosmetologists","23,610",18.53,"38,530",15.17,"31,550","2,050",30.44,"63,320",29.92,"62,240"
"Makeup Artists, Theatrical and Performance",500,58.46,"121,600",59.08,"122,900","5,720",27.52,"57,240",26.09,"54,280"
Manicurists and Pedicurists,"12,310",13.74,"28,570",13.44,"27,950","22,290",26.61,"55,350",26.98,"56,120"
Shampooers,"1,010",12.14,"25,250",12.01,"24,970","2,450",31,"64,470",30.15,"62,710"
Skincare Specialists,"5,910",20.06,"41,730",18.13,"37,700",590,26.59,"55,320",26.53,"55,190"
Baggage Porters and Bellhops,"2,470",17.74,"36,910",16.57,"34,460","6,940",17.9,"37,230",17.49,"36,380"
Concierges,"6,130",21.38,"44,470",20.16,"41,930",560,23.76,"49,420",22.88,"47,590"
Tour and Travel Guides,"1,790",19.01,"39,530",17.59,"36,580",900,32.67,"67,960",33.83,"70,360"
Childcare Workers,"51,860",15.29,"31,810",14.62,"30,400","1,520",33.03,"68,710",33,"68,640"
Exercise Trainers and Group Fitness Instructors,"17,550",28.21,"58,680",26.12,"54,330",180,24.74,"51,460",23.5,"48,880"
Recreation Workers,"25,820",17.06,"35,490",15.57,"32,380","29,130",24.01,"49,930",21.8,"45,340"
Residential Advisors,"5,210",19.69,"40,950",18.88,"39,280","2,030",33.45,"69,580",33,"68,650"
"Crematory Operators and Personal Care and Service Workers, All Other","2,840",16.83,"35,000",14.2,"29,530","1,400",22.79,"47,400",20.34,"42,300"
Sales and Related Occupations,"797,100",30.74,"63,940",19.21,"39,960","3,070",20.29,"42,200",19.6,"40,770"
First-Line Supervisors of Retail Sales Workers,"50,210",28.06,"58,360",25.7,"53,460","2,120",27.28,"56,750",27.28,"56,730"
First-Line Supervisors of Non-Retail Sales Workers,"20,540",55.29,"115,000",49.96,"103,910","2,110",19.03,"39,580",15.64,"32,530"
Cashiers,"171,180",14.25,"29,640",13.09,"27,230","2,670",24.9,"51,790",25.73,"53,510"
Counter and Rental Clerks,"17,130",17.51,"36,430",15.22,"31,660",**,22.29,"46,360",21.81,"45,370"
Parts Salespersons,"8,610",21.97,"45,700",21.05,"43,790","3,100",22.9,"47,620",21.74,"45,210"
Retail Salespersons,"219,790",17.06,"35,490",14.8,"30,790","1,580",26.64,"55,410",26.52,"55,170"
Advertising Sales Agents,"18,060",44.41,"92,370",37.65,"78,310","9,490",20.27,"42,160",19.05,"39,630"
Insurance Sales Agents,"21,600",44.54,"92,650",32.49,"67,580","2,490",*,*,*,*
"Securities, Commodities, and Financial Services Sales Agents","72,100",75.18,"156,380",63.2,"131,460","2,340",28.85,"60,000",28.47,"59,220"
Travel Agents,"4,450",23.13,"48,110",20.93,"43,540","1,830",25.54,"53,130",22.79,"47,400"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","74,470",42.17,"87,700",35.7,"74,260","2,060",21.21,"44,130",19.52,"40,610"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","12,760",53.94,"112,190",49.8,"103,590",820,42.36,"88,100",43.66,"90,810"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","79,090",40.38,"83,980",33.86,"70,420","2,400",27.59,"57,390",25.16,"52,340"
Demonstrators and Product Promoters,"5,130",20.25,"42,120",18.17,"37,800",90,40.65,"84,560",42.92,"89,280"
Real Estate Brokers,"1,990",64.79,"134,770",58.35,"121,370","1,150",24.84,"51,670",23.64,"49,170"
Real Estate Sales Agents,"6,750",47.39,"98,580",37.38,"77,760","4,960",26.61,"55,350",31.26,"65,020"
Sales Engineers,"2,280",61.64,"128,200",61.53,"127,990","2,360",26.24,"54,580",29.62,"61,600"
Telemarketers,"3,260",18,"37,440",15.49,"32,220","6,240",31.4,"65,320",30.22,"62,860"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",490,27.27,"56,730",24.26,"50,460","8,170",21.47,"44,650",19.78,"41,140"
"Sales and Related Workers, All Other","6,740",28.54,"59,370",26.65,"55,430","1,080",21.53,"44,790",21.39,"44,490"
Office and Administrative Support Occupations,"1,254,750",23.87,"49,650",21.89,"45,520","14,130",41.43,"86,180",40.02,"83,240"
First-Line Supervisors of Office and Administrative Support Workers,"99,880",36.45,"75,820",34.3,"71,340","3,150",36.71,"76,350",36.28,"75,470"
"Switchboard Operators, Including Answering Service","2,780",18.17,"37,800",17.04,"35,430","12,200",25.01,"52,020",24.42,"50,800"
Telephone Operators,600,22.93,"47,680",22.95,"47,730","26,350",25.23,"52,480",24.28,"50,490"
"Communications Equipment Operators, All Other",70,*,*,*,*,"2,080",20.55,"42,750",19.57,"40,700"
Bill and Account Collectors,"11,600",23.02,"47,870",21.77,"45,280",620,30.6,"63,640",31.38,"65,270"
Billing and Posting Clerks,"34,560",22.72,"47,260",22.13,"46,020","3,300",28.07,"58,390",27.59,"57,390"
"Bookkeeping, Accounting, and Auditing Clerks","92,820",24.5,"50,960",24.07,"50,070",700,20.9,"43,470",20.1,"41,820"
Gambling Cage Workers,40,*,*,*,*,"38,090",23.83,"49,560",22.47,"46,740"
Payroll and Timekeeping Clerks,"6,830",26.39,"54,900",26.27,"54,650",460,18.22,"37,910",15.24,"31,710"
Procurement Clerks,"4,540",22.85,"47,540",23.01,"47,870",**,24.83,"51,640",25.33,"52,690"
Tellers,"23,970",17.19,"35,750",17.24,"35,850",230,28.12,"58,490",28.41,"59,100"
"Financial Clerks, All Other","1,750",27.66,"57,540",25.48,"52,990","5,980",22.92,"47,680",19.68,"40,940"
Brokerage Clerks,"6,320",35.47,"73,770",32.99,"68,610","2,580",19.46,"40,470",18.23,"37,920"
Correspondence Clerks,250,21.17,"44,020",19.83,"41,260",170,26.93,"56,020",27.3,"56,790"
"Court, Municipal, and License Clerks","9,040",29.32,"60,980",26.28,"54,670",50,35.51,"73,870",35.36,"73,550"
"Credit Authorizers, Checkers, and Clerks","1,830",24.37,"50,700",23.46,"48,790",70,15.45,"32,130",14.33,"29,800"
Customer Service Representatives,"143,550",21.93,"45,610",20.54,"42,730",**,16.92,"35,190",15.15,"31,520"
"Eligibility Interviewers, Government Programs","7,730",26.31,"54,730",25.81,"53,680","1,750",19.31,"40,170",18.99,"39,490"
File Clerks,"8,410",17.92,"37,270",16.46,"34,240",200,17.5,"36,410",16.67,"34,670"
"Hotel, Motel, and Resort Desk Clerks","7,800",17.23,"35,840",15.36,"31,950",40,18.95,"39,420",18.44,"38,350"
"Interviewers, Except Eligibility and Loan","13,650",21.4,"44,500",21.68,"45,090","94,320",37.86,"78,750",34.34,"71,420"
"Library Assistants, Clerical","5,820",17.68,"36,770",16.95,"35,250","8,430",48.16,"100,180",46.44,"96,600"
Loan Interviewers and Clerks,"7,240",23.74,"49,370",23.75,"49,400",80,41.85,"87,050",45.72,"95,110"
